Age,Education Level,Job Title,Years of Experience,Salary
25,High School,Sales Representative,2,32000
30,Bachelor's,Software Engineer,5,78000
45,Master's,Manager,15,95000
35,PhD,Data Analyst,8,82000
28,Bachelor's,Software Engineer,3,62000
50,Master's,Manager,20,110000
22,High School,Sales Representative,1,30000
40,Bachelor's,Data Analyst,10,79000
33,Master's,Software Engineer,7,88000
27,High School,Sales Representative,4,38000
29,Bachelor's,Data Analyst,4,65000
42,PhD,Manager,18,105000
31,Bachelor's,Software Engineer,6,80000
26,High School,Sales Representative,3,35000
38,Master's,Data Analyst,12,85000
47,Master's,Manager,22,115000
34,Bachelor's,Software Engineer,9,87000
24,High School,Sales Representative,2,31000
36,PhD,Data Analyst,10,83000
41,Bachelor's,Manager,14,98000
28,Bachelor's,Software Engineer,4,67000
39,Master's,Data Analyst,11,86000
44,PhD,Manager,19,108000
32,Bachelor's,Software Engineer,7,82000
25,High School,Sales Representative,1,30000
37,Bachelor's,Data Analyst,9,78000
46,Master's,Manager,21,112000
30,Bachelor's,Software Engineer,5,76000
27,High School,Sales Representative,3,34000
35,PhD,Data Analyst,8,81000
43,Bachelor's,Manager,16,99000
29,Bachelor's,Software Engineer,5,69000
40,Master's,Data Analyst,13,88000
48,PhD,Manager,23,117000
33,Bachelor's,Software Engineer,8,85000
26,High School,Sales Representative,2,32000
38,Bachelor's,Data Analyst,11,80000
45,Master's,Manager,20,110000
31,Bachelor's,Software Engineer,6,77000
24,High School,Sales Representative,1,31000
36,PhD,Data Analyst,9,82000
42,Bachelor's,Manager,15,97000
28,Bachelor's,Software Engineer,4,66000
39,Master's,Data Analyst,12,87000
47,PhD,Manager,22,115000
34,Bachelor's,Software Engineer,9,86000
25,High School,Sales Representative,2,33000
37,Bachelor's,Data Analyst,10,79000
46,Master's,Manager,21,113000
30,Bachelor's,Software Engineer,5,75000
27,High School,Sales Representative,3,35000
35,PhD,Data Analyst,8,83000
43,Bachelor's,Manager,16,100000
29,Bachelor's,Software Engineer,5,68000
40,Master's,Data Analyst,13,89000
48,PhD,Manager,23,118000
33,Bachelor's,Software Engineer,8,84000
26,High School,Sales Representative,2,31000
38,Bachelor's,Data Analyst,11,81000
45,Master's,Manager,20,111000
31,Bachelor's,Software Engineer,6,78000
24,High School,Sales Representative,1,30000
36,PhD,Data Analyst,9,84000
42,Bachelor's,Manager,15,98000
28,Bachelor's,Software Engineer,4,67000
39,Master's,Data Analyst,12,88000
47,PhD,Manager,22,116000
34,Bachelor's,Software Engineer,9,87000
25,High School,Sales Representative,2,32000
37,Bachelor's,Data Analyst,10,80000
46,Master's,Manager,21,114000
30,Bachelor's,Software Engineer,5,76000
27,High School,Sales Representative,3,34000
35,PhD,Data Analyst,8,82000
43,Bachelor's,Manager,16,99000
29,Bachelor's,Software Engineer,5,69000
40,Master's,Data Analyst,13,90000
48,PhD,Manager,23,119000
33,Bachelor's,Software Engineer,8,85000
26,High School,Sales Representative,2,31000
38,Bachelor's,Data Analyst,11,82000
45,Master's,Manager,20,112000
31,Bachelor's,Software Engineer,6,79000
24,High School,Sales Representative,1,30000
36,PhD,Data Analyst,9,83000
42,Bachelor's,Manager,15,97000
28,Bachelor's,Software Engineer,4,68000
39,Master's,Data Analyst,12,89000
47,PhD,Manager,22,117000
34,Bachelor's,Software Engineer,9,86000
25,High School,Sales Representative,2,33000
37,Bachelor's,Data Analyst,10,81000
46,Master's,Manager,21,115000
30,Bachelor's,Software Engineer,5,77000
27,High School,Sales Representative,3,35000
35,PhD,Data Analyst,8,84000
43,Bachelor's,Manager,16,100000
29,Bachelor's,Software Engineer,5,70000
40,Master's,Data Analyst,13,91000
48,PhD,Manager,23,120000